pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,st_teff,st_mass,st_rad,sy_snum,sy_pnum,discoverymethod,disc_year
"NGTS-5 b","NGTS-5",12.73342400,7.27830700000000e+01,3.35698660000,0.0382000000,952.00,101.2530,4987.00,0.661000,0.739000,1,1,"Transit",2019
"HD 126525 b","HD 126525",10.30000000,,960.41000000000,1.8370000000,198.47,0.2701,5638.00,0.897000,0.979000,1,1,"Radial Velocity",2018
"HD 117207 b","HD 117207",13.40000000,6.69346625142000e+02,2621.75000000000,3.7870000000,147.20,0.0811,5732.00,1.053000,1.074000,1,1,"Radial Velocity",2004
"HD 143361 b","HD 143361",12.90000000,1.38255357045000e+03,1039.15000000000,1.9880000000,180.26,0.2050,5507.00,0.968000,0.916000,1,1,"Radial Velocity",2008
"K2-288 B b","K2-288 B",1.90000000,,31.39346300000,0.1640000000,226.36,0.4368,3341.00,0.330000,0.320000,2,1,"Transit",2018
"HATS-60 b","HATS-60",12.92397700,2.10403460000000e+02,3.56082900000,0.0470800000,1528.00,903.9000,5688.00,1.097000,1.460000,1,1,"Transit",2018
"HD 20781 e","HD 20781",3.83000000,,85.50730000000,0.3374000000,398.38,4.3043,5256.00,0.700000,0.833609,2,5,"Radial Velocity",2019
"HD 45184 c","HD 45184",2.91000000,,13.13540000000,0.1100000000,884.78,93.3884,5869.00,1.030000,1.075139,1,2,"Radial Velocity",2019
"HD 152079 b","HD 152079",13.20000000,,2918.92000000000,4.1870000000,147.84,0.0730,5907.00,1.147000,1.128000,1,1,"Radial Velocity",2009
"HATS-62 b","HATS-62",11.82549500,5.68915700000000e+01,3.27688370000,0.0416300000,1237.00,387.4000,5416.00,0.896000,0.933000,1,1,"Transit",2018
"HATS-63 b","HATS-63",13.52926300,3.05116800000000e+02,3.05665270000,0.0402600000,1398.30,634.1000,5627.00,0.931000,1.070000,1,1,"Transit",2018
"HATS-70 b","HATS-70",15.51325600,4.10000700000000e+03,1.88823780000,0.0363200000,2730.00,9110.0000,7930.00,1.780000,1.881000,1,1,"Transit",2019
"K2-264 b","K2-264",2.23100000,,5.84000200000,0.0502300000,496.00,13.0794,3660.00,0.496000,0.473000,1,2,"Transit",2018
"KMT-2016-BLG-1107L b","KMT-2016-BLG-1107L",13.10000000,1.04300000000000e+03,,0.3420000000,,,,0.087000,,1,1,"Microlensing",2019
"HD 103949 b","HD 103949",3.35000000,,120.87800000000,0.4390000000,302.65,1.3983,4792.00,0.770000,0.753113,1,1,"Radial Velocity",2019
"HIP 35173 b","HIP 35173",3.61000000,,41.51600000000,0.2170000000,444.34,6.4967,4881.00,0.790000,0.773404,1,1,"Radial Velocity",2019
"HD 23127 b","HD 23127",13.50000000,,1211.17000000000,2.3700000000,223.40,0.5038,5843.00,1.208000,1.490000,1,1,"Radial Velocity",2006
"HD 25171 b","HD 25171",13.90000000,,1802.29000000000,2.9710000000,190.04,0.2141,6125.00,1.076000,1.230000,2,1,"Radial Velocity",2010
"HATS-65 b","HATS-65",16.82470900,2.60938430000000e+02,3.10516100000,0.0449700000,1634.00,1178.0000,6277.00,1.257000,1.310000,2,1,"Transit",2018
"HATS-66 b","HATS-66",15.81589900,1.69403390000000e+03,3.14143910000,0.0471400000,1998.00,2637.0000,6626.00,1.411000,1.841000,1,1,"Transit",2018
"HD 1397 b","HD 1397",11.50043400,1.31899450000000e+02,11.53533000000,0.1097000000,1228.30,356.0000,5521.00,1.324000,2.336000,1,1,"Transit",2018
"HD 64114 b","HD 64114",4.41000000,,45.79100000000,0.2460000000,518.51,12.0441,5676.00,0.950000,0.882858,1,1,"Radial Velocity",2019
"HD 206255 b","HD 206255",6.47000000,,96.04500000000,0.4610000000,596.48,21.0939,5635.00,1.420000,2.221489,1,1,"Radial Velocity",2019
"HD 38801 b","HD 38801",12.50000000,,685.25000000000,1.6230000000,287.80,1.7311,5338.00,1.207000,2.029000,1,1,"Radial Velocity",2009
"HATS-67 b","HATS-67",18.88716500,4.60853500000000e+02,1.60917880000,0.0303200000,2193.00,3821.0000,6594.00,1.435000,1.441000,1,1,"Transit",2018
"HATS-68 b","HATS-68",13.80948800,4.10000700000000e+02,3.58622020000,0.0507100000,1741.00,1521.0000,6147.00,1.351000,1.748000,1,1,"Transit",2018
"Gl 378 b","Gl 378",3.66000000,,3.82200000000,0.0394350000,830.00,38.5823,3879.00,0.560000,0.560000,1,1,"Radial Velocity",2019
"WASP-190 b","WASP-190",12.89035000,3.17830000000000e+02,5.36775300000,0.0663000000,1500.00,747.1320,6400.00,1.350000,1.600000,1,1,"Transit",2019
"Kepler-1610 c","Kepler-1610",2.09000000,,44.98518850000,0.2323000000,433.00,8.3400,5295.00,0.825000,0.800000,1,2,"Transit",2023
"XO-7 b","XO-7",15.38995700,2.25341470000000e+02,2.86414240000,0.0442100000,1743.00,1540.0000,6250.00,1.405000,1.480000,1,1,"Transit",2019
"HATS-55 b","HATS-55",14.02245900,2.92721430000000e+02,4.20420010000,0.0541200000,1367.00,355.9090,6214.00,1.195500,1.126000,1,1,"Transit",2019
"Kepler-1996 c","Kepler-1996",2.81000000,,92.72972480000,0.3608000000,276.00,1.3800,4580.00,0.748000,0.675000,1,2,"Transit",2023
"Kepler-1988 b","Kepler-1988",1.53000000,,11.49500229000,0.1038000000,1105.00,351.7900,6033.00,1.127000,1.788000,1,1,"Transit",2023
"TOI-813 b","TOI-813",6.71000000,,83.89110000000,0.4230000000,610.00,23.1000,5907.00,1.320000,1.940000,1,1,"Transit",2020
"GJ 433 b","GJ 433",2.33000000,,7.37050000000,0.0620000000,473.94,5.2029,3461.00,0.480000,0.500000,1,3,"Radial Velocity",2013
